id	name	popularity	available_markets	release_date	total_tracks
4N7qnvyotrQcxAF8fKqO4e	Có Chơi Có Chịu	46	183	2022-09-25	1
4h8yUXtgFWfqMY7WdK1eIg	CITOPIA	54	182	2022-11-11	10
538vBy7c27uatest2Eu58q	Bắt Cóc Con Tim	44	182	2022-06-30	1
3Zu8uym76sjmYEGTFsXnSy	Our Blues, Pt. 4 (Original Television Soundtrack)	70	183	2022-04-24	2
2guZsP5qfBxYma8Y4mhVff	50/50	53	183	2022-03-21	8
0t2YXNqz7bv7n6mPorj8HC	Thằng Điên	45	183	2022-07-11	1
0qrKFjh1azBE1F7kCmYqE6	Vệ Tinh	43	182	2022-08-11	1
3u0ggfmK0vjuHMNdUbtaa9	ANTIFRAGILE	80	184	2022-10-17	5
0hmMXG6kAHqOJBuYD5indJ	Lạc Vào Trong Mơ	44	183	2022-04-09	2
2hEnymoejldpuxSdTnkard	SMITHEREENS	86	183	2022-11-04	9
4GRaUdMpYBxlTw88lnF0op	Vì Mẹ Anh Bắt Chia Tay	45	182	2022-06-13	1
0nzRF7khA2UDSZa9T0B6Da	After LIKE	75	182	2022-08-22	2
0S4pP8MBY9p7ngFWIZQAJv	BORN PINK	81	54	2022-09-16	8
1JYvtEw17jdrUi8Ej9IFWg	Có Khi (feat. Low G)	44	182	2022-10-13	1
1w74ARpNNB3ybFNhs4qWmV	Hương Mùa Hè	54	182	2022-07-24	17
6nvSZLAsbg56fGSCVm8fL9	Stay Alive (Prod. SUGA of BTS)	68	183	2022-02-11	1
4UStQJDzvaNbNdAzxZ1k9A	Tình Yêu Đến Sau	44	182	2022-11-21	1
4LVa9bljQRvLYpWr8qyaXs	Takin' It Back	84	183	2022-10-21	16
2km2gV8HN1lk1e1GEDl7SN	Bad Decisions (with BTS & Snoop Dogg)	72	183	2022-08-05	1
6ZZvx0aefZV3LKa053fn71	Glimpse of Us	79	178	2022-06-10	1
3cfgav0hiCm3cK459L9VxM	đứa nào làm em buồn?	43	183	2022-08-08	1
1HMLpmZAnNyl9pxvOnTovV	NewJeans 1st EP 'New Jeans'	81	184	2022-08-01	4
0gX9tkL5njRax8ymWcXARi	Unholy (feat. Kim Petras)	88	183	2022-09-22	1
3QTBFsCemkGKAHoYrqbhUZ	Thấy Chưa	43	184	2022-08-31	1
22YHa0g0LTJ9kjQ03me248	KOSMIK	52	182	2022-10-31	11
1HMLpmZAnNyl9pxvOnTovV	NewJeans 1st EP 'New Jeans'	81	183	2022-08-01	4
644Tj4OPFEO8PtpgWhbvug	Tự Tình 2	45	184	2022-09-22	1
0S4pP8MBY9p7ngFWIZQAJv	BORN PINK	81	54	2022-09-16	8
59xrACzg1Ip2ellb2JSzCN	Từng Là Của Nhau	44	182	2022-08-30	1
0S4pP8MBY9p7ngFWIZQAJv	BORN PINK	81	54	2022-09-16	8
151w1FgRZfnKZA9FEcg9Z3	Midnights	95	183	2022-10-21	13
5Jk4Eg7pxYhDrWJCVVzmMt	CHARLIE	79	182	2022-10-06	12
4cLAtnMJPasZ99JqDVVSm3	Và Ngày Nào Đó	45	182	2022-09-13	1
4nfpHvg7KFcAUTg6yajpvN	Một Vạn Năm	57	183	2022-09-09	9
38DiN8raykLZKEr5T6v5hM	LINK	53	183	2022-08-11	9
4nfpHvg7KFcAUTg6yajpvN	Một Vạn Năm	57	182	2022-09-09	9
3FWN98RWaPe80HcAHc3P1i	NYÅRSMIDDAG	0	95	2022-12-17	51
1oMNSJlFcqiO3ReQMDmS51	Novogodišnja Žurka 2023	14	95	2022-12-05	77
1oMNSJlFcqiO3ReQMDmS51	Novogodišnja Žurka 2023	14	95	2022-12-05	77
55crQvJsUPJlEwOEjl4YSq	Party Rap	9	181	2022-12-02	30
0Y4Y3HcWFSy9v5qne2KD5J	Tick Tock 2022	0	95	2022-12-17	72
5WwAQTiwpwJwHJdC7GbWE7	Where Them Girls At - Dance Hits	6	175	2022-12-02	27
3OUXwE9nsupsKI3JY4Ml73	Winter Blues 2023	0	95	2022-12-17	85
6TFlaDZ52n2Je6DhRLOCnM	Rap Running	8	180	2022-12-09	25
2SrIduLIgVC8teUYy3pMrK	Latin Dance Party	8	133	2022-12-09	32
4AgEI9NWL3BGaMMHd0JBnO	10s Best Rewind	0	183	2022-12-16	60
7ARtQpvnPN2ucbmVHngLOs	Until I Found You (Em Beihold Version)	77	182	2022-04-22	1
6g6BPgUKY9C3pmlNnPPvV7	Hồi Kết	43	183	2022-11-15	1
6pE3CyFpqsy9acjSd65iyY	The Best New Years Playlist 2023	0	89	2022-12-17	51
0eQPwkmc4c3CyqBodqpqFx	NYÅRSFEST	0	93	2022-12-17	58
3naBujNoH8OcSBfMrn5FIU	Popsito bien melo	12	95	2022-12-09	35
535vHjb5sKDrTp0eRIRWu5	2022 西洋排行總回顧	0	82	2022-12-17	50
3naBujNoH8OcSBfMrn5FIU	Popsito bien melo	12	95	2022-12-09	35
535vHjb5sKDrTp0eRIRWu5	2022 西洋排行總回顧	0	82	2022-12-17	50
3XYddM086Gb2TssonCZT1D	Srećna Nova 2023. Godina!	12	93	2022-12-03	90
1Jr7dFE0iqfIrdbtNfUI4X	New Year's Eve Party Music	0	95	2022-12-17	82
4Xsgjo2W1JMPigacukc84V	New Year's Eve Party	0	95	2022-12-17	98
13ScGTR2rgW6inerFgYe72	New Year Driving	0	94	2022-12-17	22
0KousEGKaOTvfWaE3T3m1O	Clean Up Anthems	0	93	2022-12-17	93
3xbTU2m6ptVlUsgh3mQxDs	Best of 2022	0	95	2022-12-17	35
47mIf6imkpfL13zZXtyff1	Best of the Best 2022	0	93	2022-12-17	37
0eQPwkmc4c3CyqBodqpqFx	NYÅRSFEST	0	93	2022-12-17	58
4kFKI9UG7P0CL6NxLxvx1T	Ziemlich beste Lieder 2022	0	95	2022-12-17	97
2cnLCdaSaJNTunyhnJaNGE	Best of 2022: Trending Viral	0	95	2022-12-17	45
12Eh6v0yaReZwknyy4nRAa	Best of 2022: Sexy Songs	0	95	2022-12-17	23
1oGlOw8N2tvhr5TRe9Wfla	Charts 2022	0	95	2022-12-17	80
0Y4Y3HcWFSy9v5qne2KD5J	Tick Tock 2022	0	95	2022-12-17	72
