id	name	artist	genres	artist_followers	artist_popularity	markets	album	released_date	album_popularity	duration	explicit	popularity
60IkdTQSimvSgOVqN0lowO	Lớp 13	Tage	vietnamese trap,vietnamese hip hop	71502	26	184	Lớp 13	2020-05-15	27	181256	True	38
0BOFCIDygXWLtAD08nJDFV	Nhạc Anh (feat. Wxrdie)	Andree Right Hand,Wxrdie	vietnamese trap,vietnamese hip hop,vietnamese melodic rap	82953,71635	40,45	184	Nhạc Anh (feat. Wxrdie)	2020-12-18	29	168600	False	41
24Gff5zvrWKOynt0CgbVKL	Nếu Anh Thấy Lòng Mình Yếu Đuối (feat. CM1X)	Tùa,CM1X		2762,2471	32,37	184	Nếu Anh Thấy Lòng Mình Yếu Đuối (feat. CM1X)	2020-08-23	26	254648	False	37
5ymd9f58aw4mRjxXFvgQKh	052 (Không Phai 2)	Tăng Duy Tân	v-pop	60801	50	184	052 (Không Phai, 2)	2020-05-12	28	195692	False	40
3xyVMVFmezgIwNZYyDZbsu	Cô Đơn Trong Nhà Mình	Hoài Lâm	vietnamese bolero,v-pop	345599	42	184	Cô Đơn Trong Nhà Mình	2020-09-10	28	297471	False	40
2V4Fx72svQRxrFvNT1eq5f	THE BADDEST	K/DA,(G)I-DLE,Wolftyla,Bea Miller,League of Legends	pop,indie poptimism,k-pop girl group,video game music,k-pop,talent show,speedrun,electropop,alt z,dance pop,post-teen pop,trap queen	1736709,4570666,60477,2826374,1536429	66,76,56,69,80	184	THE BADDEST	2020-08-27	58	162600	False	69
5iyZwawawLjHYpX4MxUKVF	Salt	Ava Max	pop,dance pop	5721441	81	184	Heaven & Hell	2020-09-18	79	180283	False	71
2YQct2AzcuO0YiHbgl9HxX	Diamond	Lil Wuyn,NVM,95G	vietnamese hip hop,vietnamese melodic rap	82652,3623,15308	40,28,29	184	Diamond	2020-04-21	29	211922	False	40
3CwALGfKDBlCwGdiMLSCTY	mama boy	AMEE	v-pop	823970	53	184	dreAMEE	2020-06-28	50	204428	False	39
3USxtqRwSYz57Ewm6wWRMp	Heat Waves	Glass Animals	shiver pop,indietronica,gauze pop	3531509	79	184	Dreamland	2020-08-07	73	238805	False	82
7t3Xdbufg7q2onVsR8RBdY	Fire On Fire	Sam Smith	uk pop,pop,dance pop	21030476	89	183	Love Goes	2020-10-30	74	246735	False	78
3YJJjQPAbDT7mGpX3WtQ9A	Good Days	SZA	pop,r&b	9261451	92	182	Good Days	2020-12-25	71	279204	True	83
27JXVe80vFun97upipztKX	You	Vietra		12672	32	181	Strawberries	2020-01-15	37	66779	False	47
1KixkQVDUHggZMU9dUobgm	My Head & My Heart	Ava Max	pop,dance pop	5721441	81	183	Heaven & Hell	2020-09-18	79	174760	False	78
06PmWcNQ2zyzzbC6w8CqZO	Hành Tinh Ánh Sáng	Vu Cat Tuong	v-pop	493695	47	183	Hành Tinh Ánh Sáng	2020-10-05	28	228000	False	39
7v6a4ZnRzpJU0Fz1Jta9MH	Mãi mãi không phải anh (Lofi)	Thuong Hoang Long	vietnamese singer-songwriter	1323	26	183	Mãi mãi không phải anh (Lofi)	2020-08-11	27	80827	False	38
3lWdsBlhTvI1JouQsegpHF	Nước Ngoài	Phan Mạnh Quỳnh	vietnamese singer-songwriter,v-pop	751149	43	183	Nước Ngoài	2020-01-01	27	212666	False	39
2ePtv8MlBO9nuuXABqAfEX	SugarCrash!	ElyOtto	hyperpop,weirdcore	112741	57	183	SugarCrash!	2020-08-25	63	80080	True	75
79EkGysjP2dL5GdpeQjRxT	This Side of Paradise	Coyote Theory		94558	65	183	Color	2020-12-11	71	242010	False	82
