id	name	genres	followers	popularity
6MF9fzBmfXghAz953czmBC	Taio Cruz	dance pop, edm, pop, pop rap	2176835	69
4P2qfdEHx0ObXclFvHh1fn	Wonder Stereo		103	14
4pCVGaLWxDe4d8bsjsnmUM	coldrain	j-rock, japanese post-hardcore, metalcore	207639	54
4yiQZ8tQPux8cPriYMWUFP	Gwen Stefani	dance pop, pop	5685837	75
6C65D20ASusYqHGSIktfED	Erroll Garner	bebop, jazz, jazz piano, swing	89239	48
3rRWzsERkCNBl27Nih029a	Connie Isla	argentine telepop, cantautora argentina	46171	38
0Ndn6LkRrJThJ8vucL5BUf	Jonnysolty		8	1
4H9N7llvyhoddyD2oIrXWt	DijahSB	indie hip hop	9195	46
2dIgFjalVxs4ThymZ67YCE	Stray Kids	k-pop, k-pop boy group	9808521	82
4231LwYaIJtav1114F2ESZ	Natalie Gelman		1835	4
5U4voj4WEwbnOyybWyALor	Marien		1332	20
7DuMrjdqPSIiF85TF8hoiV	Chris Burke		4435	38
2dIgFjalVxs4ThymZ67YCE	Stray Kids	k-pop, k-pop boy group	9808521	82
6td62mtHMSUG6D832zcTxQ	Maaisen	rap calme	1634	21
08F3Y3SctIlsOEmKd6dnH8	Yusuf / Cat Stevens	british folk, classic rock, folk, folk rock, mellow gold, rock, singer-songwriter, soft rock	1624630	69
6JcrWArSZYyhGcy1i60wKI	Snoopy Dinero		833	11
