danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	id	duration_ms	time_signature	genre
0.696	0.694	9	-11.577	1	0.031	0.144	3.02e-05	0.17	0.981	125.57	7zUogmz7vHIVvsOSuSynKL	215973	4	disco
0.626	0.39	8	-11.316	1	0.0537	0.333	0.879	0.152	0.0522	143.998	6wKQJQSNHS1P163djwFyxW	150938	4	chillhop
0.601	0.769	10	-6.831	1	0.251	0.684	1.34e-05	0.32	0.602	94.597	0quGfawEcDg1BiTCHMNMx1	376764	4	cumbia sonidera
0.536	0.73	8	-10.558	0	0.147	0.124	0	0.913	0.173	129.969	0fy9VfcdomPN1PmB8ImxtE	132096	4	australian talent show
0.723	0.205	7	-11.173	0	0.0432	0.769	0.919	0.131	0.406	142.154	5zMk1guQyH5LP6abK4wBvA	112000	4	lo-fi beats
0.65	0.735	8	-3.425	1	0.264	0.0619	4.47e-06	0.0799	0.541	93.272	7zbF7GDchEAxGPbIQAOAyh	156498	4	dancehall
0.639	0.579	8	-9.326	1	0.0342	0.0591	0.00394	0.769	0.754	113.225	5091oN6DGFSX8vfZsJyJij	265600	4	album rock
0.632	0.516	0	-3.822	1	0.0324	0.362	0	0.237	0.921	106.092	1Vifu8A2jTI9360HD7al7o	120500	1	banda carnavalera
0.489	0.637	8	-8.565	0	0.0647	0.00771	0	0.117	0.508	118.224	34ZFX5zDheyGVZW1vP9aeW	248333	4	disco
0.686	0.355	6	-9.237	1	0.0648	0.559	0.75	0.079	0.322	77.993	4590lvVvJTszrHD4EiJJEh	187716	3	chillhop
0.72	0.598	1	-12.079	0	0.039	0.0563	0.89	0.071	0.39	132.016	2BeInbvK9KLJVKGyNKmyne	436364	4	disco house
0.373	0.681	7	-8.496	1	0.153	0.00694	0.00115	0.701	0.718	91.717	1wcfzlUp7laoYq6gHHEzfg	204773	4	album rock
0.439	0.735	1	-7.304	0	0.0292	0.0946	0.000286	0.188	0.654	137.685	7h506poJSF8trnq3znAX2q	186120	4	album rock
0.411	0.21	9	-9.103	1	0.166	0.666	0.133	0.142	0.454	85.872	1l0DcUMWpeOKiCji57jXKf	135172	4	anime lo-fi
0.633	0.652	0	-12.012	1	0.0329	0.0134	0.000131	0.216	0.585	125.465	2HJ0irMgolBlOGk29m8Gu1	295947	4	dance rock
0.506	0.885	9	-7.46	1	0.0753	0.0354	0.0383	0.722	0.291	136.913	2MGaCTl70AQDyfu3YlSYFK	330408	4	album rock
0.743	0.675	8	-4.267	0	0.0953	0.0251	0.000717	0.0685	0.59	92.909	3okWQ7ykLevuruyk60bFgy	214400	4	atl hip hop
0.627	0.929	7	-3.649	0	0.0306	0.0612	0	0.361	0.752	118.044	7C9WpdYC6rxCzQRM7PCZaZ	196780	4	greek pop
0.293	0.4	2	-14.078	1	0.032	0.945	0.931	0.689	0.156	146.738	1BYSZZtOrFFtAWjp1Za652	380853	3	eau claire indie
0.805	0.664	0	-8.005	1	0.226	0.0215	0	0.209	0.779	143.087	4AdNDgmTEtJBCsRPlS6HFD	209576	4	dmv rap
0.712	0.633	0	-5.514	1	0.032	0.102	0	0.0789	0.932	93.02	4DUyORTFNAeGRoclGCjVgI	227930	4	latin viral pop
0.293	0.983	9	-4.083	1	0.136	0.0109	0.291	0.354	0.318	155.008	41kizlH3EDwfmugsVIdwL0	159436	4	russelater
0.367	0.221	10	-12.554	1	0.0437	0.847	0	0.115	0.284	82.994	0zBt8EFy6LhNdDKW9YgA5b	301748	3	broadway
0.658	0.614	0	-8.032	1	0.0553	0.0953	4.78e-05	0.111	0.632	106.0	1UnBgNb8NPtLBB96yarlCV	230920	4	pop rock
0.564	0.963	3	-1.501	0	0.0549	0.00925	0.00258	0.351	0.594	128.011	2PYMzBuG0zSQwGZspca0ez	229219	4	classic hardstyle
0.597	0.699	2	-6.795	0	0.0473	0.0725	0.877	0.635	0.13	148.055	658Nigb0czMuPYu8bcvYmj	214054	4	bass trap
0.643	0.747	5	-4.872	0	0.115	0.299	0.000232	0.0631	0.962	113.279	3M7XEXe5lVM1jHgGrNTkUz	218893	3	banda carnavalera
0.855	0.766	11	-3.664	1	0.105	0.157	0	0.228	0.795	107.9	1YIjmHa77tPpMvPNfKsMDu	128990	4	dancehall
0.666	0.0726	11	-21.575	1	0.0485	0.96	0.884	0.156	0.15	82.028	5sAxHA9vc2phSUff2793GX	150000	4	lo-fi beats
0.174	0.776	9	-22.368	0	0.0813	0.831	0.256	0.111	0.00563	84.105	4LrmdQdjjZdusGUTxdjF88	168000	3	sound
0.562	0.43	2	-17.727	0	0.0541	0.529	0.0352	0.121	0.548	68.333	1A1XhV8sCkXSVUgFypKfX0	368800	4	disco
0.383	0.774	0	-4.09	0	0.042	0.00878	1.47e-05	0.0693	0.697	175.154	5EtWiWLPtkAXyGaD04bQzC	243920	4	anime
0.268	0.567	2	-6.328	0	0.0362	0.00147	0.00021	0.0989	0.0896	124.053	2QAnEucy6EGr6mgYUpkXSE	207097	4	emo rap
0.545	0.935	8	-5.66	1	0.13	0.00455	3.71e-05	0.12	0.27	134.963	6sMq7L01ZyNHwBApLPe5FF	270303	4	fnaf
0.775	0.25	4	-13.113	0	0.0845	0.866	0.884	0.0773	0.137	85.013	6proI95o4ZVX9PHfMFYybP	160941	4	chillhop
0.68	0.421	2	-14.431	1	0.0365	0.177	0.313	0.102	0.0888	103.992	2s8PIPVbI5J9hqpeFjqoCn	138462	4	lo-fi beats
0.63	0.0477	0	-18.997	1	0.0413	0.92	0.824	0.0955	0.224	141.688	2hCT8mQolvStIyyC2HRkTD	138710	4	lo-fi beats
0.6	0.76	7	-6.159	1	0.0386	0.00446	0.856	0.315	0.248	94.044	62I8hspNevExL88QkIRp7Q	173617	4	chillhop
0.662	0.327	5	-9.375	0	0.0436	0.522	0.772	0.198	0.922	171.886	5sJpPdRQYYUR7kc9GQjfhY	135363	4	chillhop
0.818	0.386	0	-10.912	0	0.145	0.274	0	0.138	0.682	119.987	1kY2dTf9Tpa8QRHlAJeRYd	224893	4	french hip hop
0.43	0.0204	1	-19.469	1	0.0379	0.339	0.953	0.113	0.0395	68.017	0ZMZIomnu7vAVRZcqWpMyx	114375	4	horror synth
0.35	0.247	7	-10.939	1	0.0335	0.794	7.93e-06	0.199	0.237	125.444	4uM7pWuhCmYkonnNY2ToED	232373	4	adult standards
0.584	0.697	9	-6.394	0	0.177	0.000154	0.000396	0.0806	0.711	158.881	6oZRRbgMkeiDekXJS3Q5aD	216133	4	mellow gold
0.786	0.929	2	-6.683	1	0.0481	0.376	0	0.258	0.815	116.331	2PRR6yt16VAi07bH2ICOSY	241144	4	classic city pop
