id	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	genre
6ZiEWet0uFRwWBCEKCQ8rY	0.204	0.708	1	-5.425	1	0.0458	0.442	0	0.319	0.278	83.443	307667	4	j-pop
7fjELpY3Zbi8qRqWCWLz9B	0.828	0.914	1	-5.6	1	0.107	0.0365	1.25e-05	0.272	0.0937	112.017	246429	4	v-pop
3bgKmQKBMhbhtGVG6OQo3s	0.603	0.222	6	-13.891	0	0.0358	0.814	0	0.0955	0.198	129.777	368000	4	
6ZoyQrHRppLrkuApma3PMM	0.621	0.921	11	-2.796	0	0.0348	0.00903	0.0176	0.19	0.293	139.983	278522	4	viet remix
76EVwrBaH4y4IfTWPamfSI	0.814	0.36	2	-10.365	0	0.109	0.745	0	0.225	0.498	109.992	187240	4	vietnamese hip hop
44V6EzbUSYgyfsNiP0FrlA	0.471	0.396	8	-6.654	1	0.0336	0.77	0	0.0729	0.263	149.609	215507	4	pop
1cyGvXPHdd5yG0Hrf9Ms8x	0.518	0.275	8	-7.322	1	0.035	0.458	0	0.107	0.123	135.97	194559	4	chinese talent show
0yzBHCOPXkIX3SA1VDWWMW	0.814	0.808	11	-5.222	0	0.0685	0.154	0.0256	0.661	0.638	130.022	201236	4	v-pop
5Td3NzuCZZVgUSfvB1BlP1	0.563	0.397	0	-8.879	1	0.0843	0.958	8.58e-05	0.102	0.297	64.131	224516	3	v-pop
6dG2zPUOWXk3eMC7Hb3wh3	0.85	0.734	2	-6.415	1	0.0491	0.0221	0.000179	0.0728	0.406	103.027	149214	4	k-pop
79LUd6wxeLdHGHGlrhZspC	0.803	0.517	6	-8.401	1	0.0457	0.41	1.2e-06	0.146	0.192	98.996	178119	4	
20PMK8VHuwGJMRABNMPzG7	0.517	0.219	5	-13.287	0	0.0286	0.685	0	0.153	0.215	99.534	251232	4	v-pop
0zHm0VIyI9N86mfNXKcoIw	0.873	0.238	5	-16.148	1	0.138	0.327	0	0.178	0.741	94.985	161686	4	
6bTb5JTu5dcf65QhgTxbDP	0.891	0.638	6	-7.66	0	0.331	0.111	0	0.108	0.874	151.017	235232	4	vietnamese hip hop
