id	name	popularity	available markets	release date	total tracks
7yBPBvBYXB4e41YZa6xAlx	2022	2	183	2022-05-15	1
6tMXhYSWXf3xcbrEQgNckz	Capodanno 2022 Baila! Latin Hits	2	95	2022-11-20	60
5BN9XQDQIPGcMUx5ZOnSqV	2022	3	183	2022-07-22	1
6tMXhYSWXf3xcbrEQgNckz	Capodanno 2022 Baila! Latin Hits	2	95	2022-11-20	60
5MzBbJO271Vn4VjxtDev3V	2022	4	183	2022-01-05	1
6tMXhYSWXf3xcbrEQgNckz	Capodanno 2022 Baila! Latin Hits	2	95	2022-11-20	60
0fUL97APBzDeGCgQUrA5hS	2022	31	183	2022-01-28	1
6tMXhYSWXf3xcbrEQgNckz	Capodanno 2022 Baila! Latin Hits	2	95	2022-11-20	60
3TgFjPjxTUieaxKKJY8J3r	ART Оборона	42	183	2022-07-01	9
1nnC02B9bhYh6IVFOoij0k	Use Your Illusion (Super Deluxe)	58	182	2022-11-11	77
4wKULN8VD2WvlXfe2vCq5c	111	52	183	2022-11-04	12
1nnC02B9bhYh6IVFOoij0k	Use Your Illusion (Super Deluxe)	58	182	2022-11-11	77
48JNiMveicF2w21IrrdMcC	2022	3	183	2021-11-18	1
1nnC02B9bhYh6IVFOoij0k	Use Your Illusion (Super Deluxe)	58	182	2022-11-11	77
3YkvKqJyYAiFaBbpQPDyiw	Ecstasy In The Palace	33	183	2022-04-14	18
1nnC02B9bhYh6IVFOoij0k	Use Your Illusion (Super Deluxe)	58	182	2022-11-11	77
7tIVuMYjrSZEYS2hHSMlh4	2022	7	183	2022-01-17	1
1pVDyIhEeVDBQjZYO67ytl	KIDZ BOP 2022	63	152	2021-10-22	48
6apHrLiiQLJiuAbmfpxapa	2022	2	183	2022-01-07	1
33HYdYXXadqsdZ1NsYmS6o	Use Your Illusion I (Deluxe Edition)	53	182	2022-11-11	29
4b50TZmLWKcvuMCr2FcxKp	2022	32	183	2022-01-03	1
2HQ1QwLkpqd5Jn0u5oskim	this was 2022 the hits	16	134	2022-11-11	100
5ZV0BME9Y6vAjXWarbBdzx	Fast Life 3	19	183	2022-01-11	13
22BtZeG6Kq2VvQVlZCgCAG	Use Your Illusion II (Deluxe Edition)	38	182	2022-11-11	27
7rc6GOA51znIGoipoy56si	Party 2.0	24	182	2022-09-14	13
22BtZeG6Kq2VvQVlZCgCAG	Use Your Illusion II (Deluxe Edition)	38	182	2022-11-11	27
1Aso2C5PM1FFi4cWFg5g1R	2022	11	183	2021-12-16	1
22BtZeG6Kq2VvQVlZCgCAG	Use Your Illusion II (Deluxe Edition)	38	182	2022-11-11	27
3yBGWWaHW84KgRGcYyUtr8	Short Stories	12	183	2022-07-29	3
1nnC02B9bhYh6IVFOoij0k	Use Your Illusion (Super Deluxe)	58	182	2022-11-11	77
2oAI75dtMqGiovv0Mota9w	2022	2	183	2021-12-30	1
3R5UKfbGpobsD4KHNbYReV	Use Your Illusion II	18	182	2022-11-11	14
1hXyNbPKPWtswRAiWHBrmr	2022	3	182	2022-02-22	1
5S1uPYZSgeAkZYxvFuJBeW	Use Your Illusion I	26	182	2022-11-11	16
3d0hyN4pdQHHkfQvsttA8q	2022	1	183	2022-08-02	1
3R5UKfbGpobsD4KHNbYReV	Use Your Illusion II	18	182	2022-11-11	14
